Google hilft uns, Informationen schneller zu suchen
Die Französischlehrerin hilft uns, Französisch effektiver zu lernen
Unsere IT-Spezialisten haben unserer Firma sehr geholfen, alle Prozesse schneller und effizienter zu machen
Ich versuche, keine Fehler zu machen
Wir versuchen, einen interessanten Text zu schreiben
Er versucht, 2-3 Bücher pro Monat zu lesen
In meiner Kindheit habe ich oft versucht, mit Hunden und Katzen auf Tiersprache zu reden
Ich habe den Wunsch, im Sommer nach Spanien oder Italien zu reisen
Er hat heute den Wunsch, alleine in seiner Wohnung zu bleiben
Es ist wichtig, regelmäßig Sport zu machen
Ich vergesse manchmal, meine Hausaufgaben zu machen
Sie hat keine Lust, am Wochenende zur Party zu gehen
Es ist wichtig, jeden Tag genug Wasser zu trinken
Sie plant, nächstes Wochenende zur Party zu gehen
Es ist schwierig, alle Termine im Kopf zu haben 
Die Studenten lernen an der Uni, komplexe Probleme zu lösen
Wir sind neulich auf die Idee gekommen, im Sommer in die Berge zu fahren
Sie hat ein Schengen-Visum - sie hat also die Möglichekit, in alle Schengen-Länder zu reisen
Er hat keine Lust, den ganzen Tag vor dem Computer zu sitzen - er geht lieber im Park spazieren
Es ist schön, am Wochenende lange zu schlafen
Wir haben unseren Freunden gerne geholfen, Möbel für ihre neue Wohnung zu kaufen
Es ist wichtig, täglich Obst und Gemüse zu essen
Er hat den Plan, nächstes Jahr einen Marathon zu laufen
Sie versucht, weniger Zeit vor dem Computer zu verbringen
Es ist schön, an warmen Sommertagen im See zu schwimmen
Er studiert an der Uni - er hat also die Möglichkeit, in der Bibliothek Bücher kostenlos zu bekommen
Sie hat keine Zeit, heute Abend mit uns ins Kino zu gehen
Die Kinder heute keine Lust, im Garten zu spielen
Wir sind auf die Idee gekommen, einen Roadtrip durch Europa zu machen
Aber Peter glaubt, einen Roadtrip durch Europa zu machen ist keine gute Idee
Peter hat den Plan, den ganzen Sommer auf dem Sofa mit Netflix und Snacks zu verbringen
Es ist schön, an einem regnerischen Tag zu Hause zu bleiben und ein Buch zu lesen
Es ist wichtig, mit anderen Menschen mit Respekt zu kommunizieren
